ident,type,name,municipality,iso_country,iso_region,iata_code,elevation_ft,lat,lon
ULPK,small_airport,Kalevala Airfield,Kalevala,RU,RU-KR,,377,65.2100,31.1350
ULPP,medium_airport,Peski Airfield,Petrozavodsk,RU,RU-KR,,,61.8319,34.2956
ULPS,small_airport,Segezha Airfield,Segezha,RU,RU-KR,,377,63.7590,34.2830
ULSR,heliport,Strelna Heliport,Saint Petersburg,RU,RU-SPE,,16,59.8605,30.0520
ULSW,small_airport,Severniy veter,Putilovo,RU,RU-LEN,,194,59.8353,31.4805
ULSZ,seaplane_base,Lake Krasnogvardeyskoye Water Aerodrome,Utkino,RU,RU-LEN,,112,60.2680,29.2340
ULWC,medium_airport,Cherepovets Airport,Cherepovets,RU,RU-VLG,CEE,377,59.2736,38.0158
ULWK,small_airport,Kichmengskiy Gorodok Airport,Kichmengskiy Gorodok,RU,RU-VLG,,,59.9770,45.8250
ULWU,medium_airport,Velikiy Ustyug Airport,Velikiy Ustyug,RU,RU-VLG,VUS,331,60.7883,46.2600
ULWW,medium_airport,Vologda Airport,Vologda,RU,RU-VLG,VGD,387,59.2825,39.9444
UMBB,medium_airport,Brest Airport,Brest,BY,BY-BR,BQT,468,52.1083,23.8981
UMBK,small_airport,Borisovo Air Base,Barysava,BY,BY-BR,,463,52.1640,24.3999
UMGG,medium_airport,Gomel Airport,Gomel,BY,BY-HO,GME,472,52.5270,31.0167
UMGI,small_airport,Rogachev,Min'kov,BY,BY-HO,,,53.0147,29.8785
UMII,medium_airport,Vitebsk Vostochny Airport,Vitebsk,BY,BY-VI,VTB,682,55.1265,30.3496
